Date;LBUSTRUU INDEX
30/01/1976;101.95
27/02/1976;102.72
31/03/1976;103.95
30/04/1976;104.53
28/05/1976;103.58
31/05/1976;103.58
30/06/1976;105.05
30/07/1976;106.28
31/08/1976;108.18
30/09/1976;109.67
29/10/1976;110.85
30/11/1976;113.53
31/12/1976;115.6
31/01/1977;113.38
28/02/1977;113.81
31/03/1977;114.66
29/04/1977;115.7
31/05/1977;116.5
30/06/1977;118.15
29/07/1977;118.08
31/08/1977;119.21
30/09/1977;119.21
31/10/1977;118.58
30/11/1977;119.64
30/12/1977;119.11
31/01/1978;118.83
28/02/1978;119.29
31/03/1978;119.67
28/04/1978;119.84
31/05/1978;119.3
30/06/1978;119.27
31/07/1978;120.63
31/08/1978;122.54
29/09/1978;122.49
31/10/1978;120.76
30/11/1978;121.94
29/12/1978;120.77
31/01/1979;123.03
28/02/1979;122.51
30/03/1979;123.77
30/04/1979;123.57
31/05/1979;125.88
29/06/1979;128.62
31/07/1979;128.68
31/08/1979;128.35
28/09/1979;127.01
31/10/1979;119.29
30/11/1979;122.77
31/12/1979;123.1
31/01/1980;119.35
28/02/1980;112.29
29/02/1980;112.29
31/03/1980;112.38
30/04/1980;125.12
30/05/1980;131.02
30/06/1980;133.49
31/07/1980;130.73
29/08/1980;126.05
30/09/1980;124.73
31/10/1980;123.3
28/11/1980;123.07
31/12/1980;126.43
30/01/1981;126.49
27/02/1981;124.09
31/03/1981;127.04
30/04/1981;122.51
29/05/1981;126.91
30/06/1981;126.62
31/07/1981;124.18
31/08/1981;121.56
30/09/1981;121.48
30/10/1981;128.59
30/11/1981;139.55
31/12/1981;134.33
29/01/1982;135.18
26/02/1982;137.82
31/03/1982;139.57
30/04/1982;143.48
28/05/1982;145.81
30/06/1982;143.52
30/07/1982;149.69
31/08/1982;157.86
30/09/1982;164.25
29/10/1982;172.95
30/11/1982;174.64
31/12/1982;178.15
31/01/1983;178.45
28/02/1983;183.57
31/03/1983;184.05
29/04/1983;189.18
31/05/1983;186.7
30/06/1983;186.9
29/07/1983;182.48
31/08/1983;183.75
30/09/1983;189.81
31/10/1983;190.49
30/11/1983;192.67
30/12/1983;193.04
31/01/1984;197.02
29/02/1984;196.01
30/03/1984;193.81
30/04/1984;193.43
31/05/1984;187.4
29/06/1984;189.8
31/07/1984;198.34
31/08/1984;201.68
28/09/1984;206.47
31/10/1984;215.23
30/11/1984;219.08
31/12/1984;222.28
31/01/1985;227.34
28/02/1985;222.69
29/03/1985;227.23
30/04/1985;231.93
31/05/1985;244.05
28/06/1985;246.63
31/07/1985;245.77
30/08/1985;250.39
30/09/1985;251.9
31/10/1985;257.18
29/11/1985;263.36
31/12/1985;271.41
31/01/1986;272.92
28/02/1986;283.68
31/03/1986;292.49
30/04/1986;294.04
30/05/1986;288.42
30/06/1986;295.97
31/07/1986;298.59
29/08/1986;306.01
30/09/1986;302.99
31/10/1986;307.37
28/11/1986;311.67
31/12/1986;312.84
30/01/1987;317.25
27/02/1987;319.45
31/03/1987;318.01
30/04/1987;309.29
29/05/1987;308.08
30/06/1987;312.32
31/07/1987;312.08
31/08/1987;310.41
30/09/1987;303.8
30/10/1987;314.62
30/11/1987;317.14
31/12/1987;321.46
29/01/1988;332.76
29/02/1988;336.71
31/03/1988;333.55
29/04/1988;331.75
31/05/1988;329.52
