Scientific Beta - All Rights Reserved
EDHEC-Risk Long-Term United States Cap-Weighted : 2021-12-31

date,RI(USD)
1970-06-19,1.000000
1970-06-22,0.993889
1970-06-23,0.968309
1970-06-24,0.959250
1970-06-25,0.959474
1970-06-26,0.952591
1970-06-29,0.945641
1970-06-30,0.943153
1970-07-01,0.947872
1970-07-02,0.945895
1970-07-03,0.945895
1970-07-06,0.930971
1970-07-07,0.923883
1970-07-08,0.948434
1970-07-09,0.963385
1970-07-10,0.970634
1970-07-13,0.968723
1970-07-14,0.968363
1970-07-15,0.977987
1970-07-16,0.990593
1970-07-17,1.006536
1970-07-20,1.006947
1970-07-21,0.996896
1970-07-22,0.997329
1970-07-23,1.010123
1970-07-24,1.007517
1970-07-27,1.005721
1970-07-28,1.008434
1970-07-29,1.011243
1970-07-30,1.012116
1970-07-31,1.011543
1970-08-03,0.999339
1970-08-04,1.001480
1970-08-05,1.001319
1970-08-06,0.999675
1970-08-07,1.002021
1970-08-10,0.987945
1970-08-11,0.983157
1970-08-12,0.978110
1970-08-13,0.969617
1970-08-14,0.974157
1970-08-17,0.976922
1970-08-18,0.987891
1970-08-19,0.996350
1970-08-20,1.004918
1970-08-21,1.026871
1970-08-24,1.051816
1970-08-25,1.055049
1970-08-26,1.057950
1970-08-27,1.056653
1970-08-28,1.067561
1970-08-31,1.062692
1970-09-01,1.056059
1970-09-02,1.055377
1970-09-03,1.070715
1970-09-04,1.080725
1970-09-07,1.080725
1970-09-08,1.084270
1970-09-09,1.081622
1970-09-10,1.074415
1970-09-11,1.077192
1970-09-14,1.071701
1970-09-15,1.062464
1970-09-16,1.068778
1970-09-17,1.076447
1970-09-18,1.080556
1970-09-21,1.071658
1970-09-22,1.067567
1970-09-23,1.081739
1970-09-24,1.095669
1970-09-25,1.097234
1970-09-28,1.096004
1970-09-29,1.101872
1970-09-30,1.100298
1970-10-01,1.102024
1970-10-02,1.112716
1970-10-05,1.129592
1970-10-06,1.133621
1970-10-07,1.132963
1970-10-08,1.120134
1970-10-09,1.109129
1970-10-12,1.097707
1970-10-13,1.096292
1970-10-14,1.098849
1970-10-15,1.103784
1970-10-16,1.098059
1970-10-19,1.083512
1970-10-20,1.090994
1970-10-21,1.090435
1970-10-22,1.087010
1970-10-23,1.092971
1970-10-26,1.087259
1970-10-27,1.085051
1970-10-28,1.089962
1970-10-29,1.089006
1970-10-30,1.088692
1970-11-02,1.093049
1970-11-03,1.102948
1970-11-04,1.106002
1970-11-05,1.104444
1970-11-06,1.106816
1970-11-09,1.113557
1970-11-10,1.114663
1970-11-11,1.117813
1970-11-12,1.106703
1970-11-13,1.097222
1970-11-16,1.096400
1970-11-17,1.097056
1970-11-18,1.089383
1970-11-19,1.091335
1970-11-20,1.102664
1970-11-23,1.111057
1970-11-24,1.117733
1970-11-25,1.122417
1970-11-26,1.122417
1970-11-27,1.134591
1970-11-30,1.151899
1970-12-01,1.155252
1970-12-02,1.170112
1970-12-03,1.175256
1970-12-04,1.181785
1970-12-07,1.188610
1970-12-08,1.182828
1970-12-09,1.183575
1970-12-10,1.187405
1970-12-11,1.192018
1970-12-14,1.186436
1970-12-15,1.184643
1970-12-16,1.186440
1970-12-17,1.190069
1970-12-18,1.192510
1970-12-21,1.189265
1970-12-22,1.190883
1970-12-23,1.191908
1970-12-24,1.200038
1970-12-25,1.200038
1970-12-28,1.206646
1970-12-29,1.219589
1970-12-30,1.221624
1970-12-31,1.219772
1971-01-01,1.219772
1971-01-04,1.206803
1971-01-05,1.216177
1971-01-06,1.222962
1971-01-07,1.223422
1971-01-08,1.221831
1971-01-11,1.221707
1971-01-12,1.232618
1971-01-13,1.231121
1971-01-14,1.234404
1971-01-15,1.237184
1971-01-18,1.241412
1971-01-19,1.245025
1971-01-20,1.245182
1971-01-21,1.250910
1971-01-22,1.259581
1971-01-25,1.265289
1971-01-26,1.270182
1971-01-27,1.260163
1971-01-28,1.264608
1971-01-29,1.273084
1971-02-01,1.281135
1971-02-02,1.281956
1971-02-03,1.284565
1971-02-04,1.285645
1971-02-05,1.291313
1971-02-08,1.298775
1971-02-09,1.299505
1971-02-10,1.299044
1971-02-11,1.305357
1971-02-12,1.311592
1971-02-15,1.311592
1971-02-16,1.314075
1971-02-17,1.307357
1971-02-18,1.298799
1971-02-19,1.287467
1971-02-22,1.275648
1971-02-23,1.281584
1971-02-24,1.290474
1971-02-25,1.292823
1971-02-26,1.291239
1971-03-01,1.295284
1971-03-02,1.295172
1971-03-03,1.295248
1971-03-04,1.308881
1971-03-05,1.323342
1971-03-08,1.328741
1971-03-09,1.330527
1971-03-10,1.329247
1971-03-11,1.329708
1971-03-12,1.332326
1971-03-15,1.348380
1971-03-16,1.355167
1971-03-17,1.355986
1971-03-18,1.356450
1971-03-19,1.355060
1971-03-22,1.350130
1971-03-23,1.345699
1971-03-24,1.338186
1971-03-25,1.338886
1971-03-26,1.343529
1971-03-29,1.345303
1971-03-30,1.347257
1971-03-31,1.348428
1971-04-01,1.349548
1971-04-02,1.351859
1971-04-05,1.355044
1971-04-06,1.364286
1971-04-07,1.369576
1971-04-08,1.370838
1971-04-09,1.370838
1971-04-12,1.380922
1971-04-13,1.381584
1971-04-14,1.385683
1971-04-15,1.388261
1971-04-16,1.388231
1971-04-19,1.395039
1971-04-20,1.388812
1971-04-21,1.385049
1971-04-22,1.389096
1971-04-23,1.395990
1971-04-26,1.394369
1971-04-27,1.400606
1971-04-28,1.406811
1971-04-29,1.405258
1971-04-30,1.396609
1971-05-03,1.388748
1971-05-04,1.396838
1971-05-05,1.396942
1971-05-06,1.390509
1971-05-07,1.386996
1971-05-10,1.379634
1971-05-11,1.383167
1971-05-12,1.386980
1971-05-13,1.383431
1971-05-14,1.377500
1971-05-17,1.357430
1971-05-18,1.359459
1971-05-19,1.362998
1971-05-20,1.366988
1971-05-21,1.361860
1971-05-24,1.350440
1971-05-25,1.342045
1971-05-26,1.343917
1971-05-27,1.342204
1971-05-28,1.345787
1971-05-31,1.345787
1971-06-01,1.354508
1971-06-02,1.364402
1971-06-03,1.365857
1971-06-04,1.369438
1971-06-07,1.367268
1971-06-08,1.356017
1971-06-09,1.356388
1971-06-10,1.361118
1971-06-11,1.366915
1971-06-14,1.356067
1971-06-15,1.358092
1971-06-16,1.361226
1971-06-17,1.360997
1971-06-18,1.340368
1971-06-21,1.325731
1971-06-22,1.322271
1971-06-23,1.332958
1971-06-24,1.330194
1971-06-25,1.327501
1971-06-28,1.323756
1971-06-29,1.339514
1971-06-30,1.353119
1971-07-01,1.354736
1971-07-02,1.355025
1971-07-05,1.355025
1971-07-06,1.355564
1971-07-07,1.359653
1971-07-08,1.364615
1971-07-09,1.369779
1971-07-12,1.371790
1971-07-13,1.352876
1971-07-14,1.350192
1971-07-15,1.350257
1971-07-16,1.347029
1971-07-19,1.344594
1971-07-20,1.349930
1971-07-21,1.349744
1971-07-22,1.346865
1971-07-23,1.345043
1971-07-26,1.341104
1971-07-27,1.329468
1971-07-28,1.319796
1971-07-29,1.305176
1971-07-30,1.299800
1971-08-02,1.305543
1971-08-03,1.286281
1971-08-04,1.278724
1971-08-05,1.282365
1971-08-06,1.285441
1971-08-09,1.275161
1971-08-10,1.275548
1971-08-11,1.291557
1971-08-12,1.309738
1971-08-13,1.306054
1971-08-16,1.349840
1971-08-17,1.366618
1971-08-18,1.346973
1971-08-19,1.341145
1971-08-20,1.343628
1971-08-23,1.356911
1971-08-24,1.369362
1971-08-25,1.371089
1971-08-26,1.369900
1971-08-27,1.373486
1971-08-30,1.359212
1971-08-31,1.352862
1971-09-01,1.353182
1971-09-02,1.357640
1971-09-03,1.377015
1971-09-06,1.377015
1971-09-07,1.382478
1971-09-08,1.386109
1971-09-09,1.379007
1971-09-10,1.374517
1971-09-13,1.370100
1971-09-14,1.359280
1971-09-15,1.365559
1971-09-16,1.363712
